PyScript,Total Memory(MB),Total Time(s)
bench_tree_n1_6_n2_1.py,149.304688,32.883
bench_tree_n1_6_n2_2.py,150.125,32.356
bench_tree_n1_6_n2_3.py,155.273438,31.657
bench_tree_n1_6_n2_4.py,149.910156,26.928
bench_tree_n1_6_n2_4.py,155.65625,31.078
bench_tree_n1_6_n2_4.py,148.292969,27.486
bench_tree_n1_6_n2_5.py,149.347656,31.388
bench_tree_n1_6_n2_6.py,150.511719,26.145
bench_tree_n1_6_n2_7.py,149.75,27.132
bench_tree_n1_6_n2_8.py,156.019531,32.970
bench_tree_n1_6_n2_9.py,149.644531,30.866
bench_tree_n1_7_n2_1.py,158.917969,32.144
bench_tree_n1_7_n2_2.py,158.78125,34.125
bench_tree_n1_7_n2_3.py,159.246094,34.902
bench_tree_n1_7_n2_4.py,159.183594,35.464
bench_tree_n1_7_n2_5.py,162.488281,37.622
bench_tree_n1_7_n2_6.py,153.554688,36.142
bench_tree_n1_7_n2_7.py,153.898438,44.044
bench_tree_n1_7_n2_8.py,157.140625,38.355
bench_tree_n1_7_n2_9.py,158.996094,39.989
bench_tree_n1_1_n2_11.py,148.617188,7.644
bench_tree_n1_2_n2_11.py,150.523438,11.605
bench_tree_n1_1_n2_12.py,150.808594,8.074
bench_tree_n1_2_n2_12.py,150.359375,10.543
bench_tree_n1_1_n2_13.py,153.066406,9.700
bench_tree_n1_2_n2_13.py,154.296875,13.162
bench_tree_n1_1_n2_14.py,152.707031,11.028
bench_tree_n1_1_n2_15.py,154.515625,12.216
bench_plot_lasso_path_1.py,145.496094,5.625
bench_plot_lasso_path_2.py,145.375,3.894
bench_plot_lasso_path_3.py,145.746094,5.425
bench_plot_lasso_path_4.py,145.71875,4.156
bench_plot_lasso_path_5.py,145.894531,4.494
bench_plot_lasso_path_6.py,145.242188,4.487
bench_plot_lasso_path_7.py,142.753906,4.726
bench_plot_lasso_path_8.py,145.304688,4.971
bench_plot_lasso_path_9.py,145.882812,5.266
bench_plot_lasso_path_10.py,145.441406,5.367
bench_plot_lasso_path_11.py,145.476562,5.762
bench_plot_lasso_path_12.py,146.210938,5.638
bench_plot_lasso_path_13.py,146.789062,7.284
bench_plot_lasso_path_14.py,145.746094,6.457
bench_plot_lasso_path_15.py,146.523438,7.351
bench_plot_lasso_path_16.py,147.050781,6.782
bench_plot_lasso_path_17.py,146.023438,7.201
bench_plot_lasso_path_18.py,146.179688,7.569
bench_plot_lasso_path_19.py,146.640625,7.197
bench_plot_lasso_path_20.py,147.058594,6.607
bench_plot_lasso_path_21.py,147.542969,5.786
bench_plot_lasso_path_22.py,148.027344,5.401
bench_plot_lasso_path_23.py,148.5,5.812
bench_plot_lasso_path_24.py,148.703125,5.875
bench_plot_lasso_path_25.py,148.84375,6.237
bench_plot_lasso_path_26.py,147.457031,6.570
bench_plot_lasso_path_27.py,149.886719,6.270
bench_plot_lasso_path_28.py,150.714844,6.017
bench_plot_lasso_path_29.py,150.664062,6.547
bench_plot_lasso_path_30.py,151.746094,8.107
bench_plot_lasso_path_31.py,148.960938,6.872
bench_plot_lasso_path_32.py,152.542969,7.055
bench_plot_lasso_path_33.py,152.914062,7.486
bench_plot_lasso_path_34.py,153.402344,9.792
bench_plot_lasso_path_35.py,153.625,7.918
bench_plot_lasso_path_36.py,155.523438,8.049
bench_plot_lasso_path_37.py,154.804688,7.988
bench_plot_lasso_path_38.py,155.621094,8.524
bench_plot_lasso_path_39.py,156.09375,8.783
bench_plot_lasso_path_40.py,156.0,8.901
bench_plot_lasso_path_41.py,156.703125,9.119
bench_plot_lasso_path_42.py,156.808594,9.280
bench_plot_lasso_path_43.py,151.675781,9.249
bench_plot_lasso_path_44.py,157.847656,9.881
bench_plot_lasso_path_45.py,158.339844,10.038
bench_plot_lasso_path_46.py,158.972656,10.043
bench_plot_lasso_path_47.py,159.457031,10.462
bench_plot_lasso_path_48.py,152.683594,10.921
bench_plot_lasso_path_49.py,159.886719,11.495
bench_plot_lasso_path_50.py,160.316406,12.602
bench_plot_lasso_path_51.py,160.996094,6.687
bench_plot_lasso_path_52.py,155.257812,5.300
bench_plot_lasso_path_53.py,145.054688,3.658
bench_plot_lasso_path_54.py,145.476562,3.828
bench_plot_lasso_path_55.py,145.375,4.078
bench_plot_lasso_path_56.py,145.570312,4.302
bench_plot_lasso_path_57.py,146.054688,4.566
bench_plot_lasso_path_58.py,146.039062,5.093
bench_plot_lasso_path_59.py,145.988281,5.551
bench_plot_lasso_path_60.py,146.4375,5.799
bench_plot_lasso_path_61.py,146.59375,4.646
bench_plot_lasso_path_62.py,146.640625,6.037
bench_plot_lasso_path_63.py,146.789062,6.585
bench_plot_lasso_path_64.py,148.269531,6.300
bench_plot_lasso_path_65.py,148.582031,6.882
bench_plot_lasso_path_66.py,151.257812,6.735
bench_plot_lasso_path_67.py,152.777344,7.740
bench_plot_lasso_path_68.py,155.308594,8.635
bench_plot_lasso_path_69.py,156.195312,8.080
bench_plot_lasso_path_70.py,158.851562,9.824
bench_plot_lasso_path_71.py,175.050781,7.978
bench_plot_lasso_path_72.py,163.242188,7.687
bench_plot_lasso_path_73.py,163.648438,8.642
bench_plot_lasso_path_74.py,167.777344,9.070
bench_plot_lasso_path_75.py,168.464844,9.616
bench_plot_lasso_path_76.py,170.683594,10.831
bench_plot_lasso_path_77.py,174.710938,10.805
bench_plot_lasso_path_78.py,175.039062,11.913
bench_plot_lasso_path_79.py,177.3125,11.893
bench_plot_lasso_path_80.py,181.953125,12.777
bench_plot_lasso_path_81.py,182.273438,13.994
bench_plot_lasso_path_82.py,182.992188,13.159
bench_plot_lasso_path_83.py,187.277344,15.003
bench_plot_lasso_path_84.py,190.09375,20.847
bench_plot_lasso_path_85.py,197.128906,25.171
bench_plot_lasso_path_86.py,200.414062,21.390
bench_plot_lasso_path_87.py,197.75,21.372
bench_plot_lasso_path_88.py,206.015625,19.318
